Tax Year,Credit Type,Place of Residence,County,Notes,Number of Claims,Credit Amount Claimed ($000),Average Credit,Place of Residence Sort Order
2006,NYS EITC,Schoharie,Schoharie,,1922,982,511,49
2006,NYS EITC,Schuyler,Schuyler,,1333,692,519,50
2006,NYS EITC,Seneca,Seneca,,2233,1197,536,51
2006,NYS EITC,Steuben,Steuben,,7036,3861,549,52
2006,NYS EITC,Suffolk,Suffolk,,65574,33224,507,53
2006,NYS EITC,Sullivan,Sullivan,,5547,3108,560,54
2006,NYS EITC,Tioga,Tioga,,3258,1722,528,55
2006,NYS EITC,Tompkins,Tompkins,,4166,1971,473,56
2006,NYS EITC,Ulster,Ulster,,10015,4912,490,57
2006,NYS EITC,Warren,Warren,,4178,2131,510,58
2006,NYS EITC,Washington,Washington,,4385,2309,527,59
2006,NYS EITC,Wayne,Wayne,,6035,3275,543,60
2006,NYS EITC,Westchester,Westchester,,40027,21185,529,61
2006,NYS EITC,Wyoming,Wyoming,,2250,1147,510,62
2006,NYS EITC,Yates,Yates,,1727,918,531,63
2006,NYS EITC,All Other *,Not Applicable,,28689,6942,242,64
2006,NYS EITC,Grand Total,Grand Total,,1398124,759692,543,65
2006,NYS Noncustodial Parent EITC,New York City - Bronx,Bronx,,110,41,372,1
2006,NYS Noncustodial Parent EITC,New York City - Kings,Kings,,151,63,417,2
2006,NYS Noncustodial Parent EITC,New York City - Manhattan,Manhattan,,107,49,461,3
2006,NYS Noncustodial Parent EITC,New York City - Queens,Queens,,86,34,395,4
2006,NYS Noncustodial Parent EITC,New York City - Richmond,Richmond,,13,4,286,5
2006,NYS Noncustodial Parent EITC,Albany,Albany,,133,50,372,7
2006,NYS Noncustodial Parent EITC,Allegany,Allegany,,44,19,430,8
2006,NYS Noncustodial Parent EITC,Broome,Broome,,179,78,435,9
2006,NYS Noncustodial Parent EITC,Cattaraugus,Cattaraugus,,114,47,414,10
2006,NYS Noncustodial Parent EITC,Cayuga,Cayuga,,68,25,368,11
2006,NYS Noncustodial Parent EITC,Chautauqua,Chautauqua,,134,54,405,12
2006,NYS Noncustodial Parent EITC,Chemung,Chemung,,74,33,445,13
2006,NYS Noncustodial Parent EITC,Chenango,Chenango,,43,19,437,14
2006,NYS Noncustodial Parent EITC,Clinton,Clinton,,69,27,396,15
2006,NYS Noncustodial Parent EITC,Columbia,Columbia,,29,12,409,16
2006,NYS Noncustodial Parent EITC,Cortland,Cortland,,54,23,429,17
2006,NYS Noncustodial Parent EITC,Delaware,Delaware,,33,11,321,18
2006,NYS Noncustodial Parent EITC,Dutchess,Dutchess,,72,25,353,19
2006,NYS Noncustodial Parent EITC,Erie,Erie,,457,189,414,20
2006,NYS Noncustodial Parent EITC,Essex,Essex,,19,9,470,21
2006,NYS Noncustodial Parent EITC,Franklin,Franklin,,49,18,366,22
2006,NYS Noncustodial Parent EITC,Fulton,Fulton,,49,16,323,23
2006,NYS Noncustodial Parent EITC,Genesee,Genesee,,56,20,364,24
2006,NYS Noncustodial Parent EITC,Greene,Greene,,10,2,238,25
2006,NYS Noncustodial Parent EITC,Hamilton,Hamilton,d/,,,182,26
2006,NYS Noncustodial Parent EITC,Herkimer,Herkimer,,61,24,385,27
2006,NYS Noncustodial Parent EITC,Jefferson,Jefferson,,79,34,432,28
2006,NYS Noncustodial Parent EITC,Lewis,Lewis,,34,11,318,29
2006,NYS Noncustodial Parent EITC,Livingston,Livingston,,49,17,345,30
2006,NYS Noncustodial Parent EITC,Madison,Madison,,52,19,368,31
2006,NYS Noncustodial Parent EITC,Monroe,Monroe,,294,107,364,32
2006,NYS Noncustodial Parent EITC,Montgomery,Montgomery,,50,19,373,33
2006,NYS Noncustodial Parent EITC,Nassau,Nassau,,84,35,418,34
2006,NYS Noncustodial Parent EITC,Niagara,Niagara,,154,60,388,35
2006,NYS Noncustodial Parent EITC,Oneida,Oneida,,141,55,392,36
2006,NYS Noncustodial Parent EITC,Onondaga,Onondaga,,238,92,386,37
2006,NYS Noncustodial Parent EITC,Ontario,Ontario,,71,27,381,38
2006,NYS Noncustodial Parent EITC,Orange,Orange,,75,30,397,39
2006,NYS Noncustodial Parent EITC,Orleans,Orleans,,21,9,424,40
2006,NYS Noncustodial Parent EITC,Oswego,Oswego,,67,25,376,41
2006,NYS Noncustodial Parent EITC,Otsego,Otsego,,51,20,396,42
2006,NYS Noncustodial Parent EITC,Putnam,Putnam,d/,,,502,43
2006,NYS Noncustodial Parent EITC,Rensselaer,Rensselaer,,96,39,403,44
2006,NYS Noncustodial Parent EITC,Rockland,Rockland,,29,11,394,45
2006,NYS Noncustodial Parent EITC,St. Lawrence,St. Lawrence,,126,52,413,46
2006,NYS Noncustodial Parent EITC,Saratoga,Saratoga,,95,35,366,47
2006,NYS Noncustodial Parent EITC,Schenectady,Schenectady,,80,25,318,48
