Tax Year,Credit Type,Place of Residence,County,Notes,Number of Claims,Credit Amount Claimed ($000),Average Credit,Place of Residence Sort Order
2002,NYS EITC,Montgomery,Montgomery,,3696,1649,446,33
2002,NYS EITC,Nassau,Nassau,,51226,21087,412,34
2002,NYS EITC,Niagara,Niagara,,13057,5811,445,35
2002,NYS EITC,Oneida,Oneida,,15207,6872,452,36
2002,NYS EITC,Onondaga,Onondaga,,27094,12287,453,37
2002,NYS EITC,Ontario,Ontario,,5197,2236,430,38
2002,NYS EITC,Orange,Orange,,17478,8472,485,39
2002,NYS EITC,Orleans,Orleans,,2827,1301,460,40
2002,NYS EITC,Oswego,Oswego,,8311,3779,455,41
2002,NYS EITC,Otsego,Otsego,,3755,1696,452,42
2002,NYS EITC,Putnam,Putnam,,2143,779,364,43
2002,NYS EITC,Rensselaer,Rensselaer,,8327,3607,433,44
2002,NYS EITC,Rockland,Rockland,,12007,5869,489,45
2002,NYS EITC,St. Lawrence,St. Lawrence,,7218,3352,464,46
2002,NYS EITC,Saratoga,Saratoga,,8499,3548,417,47
2002,NYS EITC,Schenectady,Schenectady,,8679,3985,459,48
2002,NYS EITC,Schoharie,Schoharie,,1958,851,435,49
2002,NYS EITC,Schuyler,Schuyler,,1327,574,433,50
2002,NYS EITC,Seneca,Seneca,,2175,958,440,51
2002,NYS EITC,Steuben,Steuben,,6899,3146,456,52
2002,NYS EITC,Suffolk,Suffolk,,62462,25795,413,53
2002,NYS EITC,Sullivan,Sullivan,,5514,2548,462,54
2002,NYS EITC,Tioga,Tioga,,3098,1367,441,55
2002,NYS EITC,Tompkins,Tompkins,,3958,1541,389,56
2002,NYS EITC,Ulster,Ulster,,9668,4109,425,57
2002,NYS EITC,Warren,Warren,,4058,1813,447,58
2002,NYS EITC,Washington,Washington,,4093,1789,437,59
2002,NYS EITC,Wayne,Wayne,,5688,2547,448,60
2002,NYS EITC,Westchester,Westchester,,38012,16311,429,61
2002,NYS EITC,Wyoming,Wyoming,,2227,926,416,62
2002,NYS EITC,Yates,Yates,,1648,716,434,63
2002,NYS EITC,All Other *,Not Applicable,,12566,2340,186,64
2002,NYS EITC,Grand Total,Grand Total,,1308021,590914,452,65
2001,NYS EITC,New York City - Bronx,Bronx,,156811,72086,460,1
2001,NYS EITC,New York City - Kings,Kings,,232706,101556,436,2
2001,NYS EITC,New York City - Manhattan,Manhattan,,124398,52111,419,3
2001,NYS EITC,New York City - Queens,Queens,,164035,65525,399,4
2001,NYS EITC,New York City - Richmond,Richmond,,18340,7229,394,5
2001,NYS EITC,Albany,Albany,,13988,5250,375,7
2001,NYS EITC,Allegany,Allegany,,2876,1152,400,8
2001,NYS EITC,Broome,Broome,,11100,4297,387,9
2001,NYS EITC,Cattaraugus,Cattaraugus,,5316,2156,406,10
2001,NYS EITC,Cayuga,Cayuga,,4581,1818,397,11
2001,NYS EITC,Chautauqua,Chautauqua,,8789,3533,402,12
2001,NYS EITC,Chemung,Chemung,,5628,2217,394,13
2001,NYS EITC,Chenango,Chenango,,3555,1442,406,14
2001,NYS EITC,Clinton,Clinton,,4219,1664,394,15
2001,NYS EITC,Columbia,Columbia,,3261,1243,381,16
2001,NYS EITC,Cortland,Cortland,,2832,1105,390,17
2001,NYS EITC,Delaware,Delaware,,2950,1150,390,18
2001,NYS EITC,Dutchess,Dutchess,,9599,3579,373,19
2001,NYS EITC,Erie,Erie,,49523,19804,400,20
2001,NYS EITC,Essex,Essex,,2036,793,390,21
2001,NYS EITC,Franklin,Franklin,,3237,1303,402,22
2001,NYS EITC,Fulton,Fulton,,3748,1439,384,23
2001,NYS EITC,Genesee,Genesee,,3071,1166,380,24
2001,NYS EITC,Greene,Greene,,2461,921,374,25
2001,NYS EITC,Hamilton,Hamilton,,250,79,315,26
2001,NYS EITC,Herkimer,Herkimer,,3950,1585,401,27
2001,NYS EITC,Jefferson,Jefferson,,6086,2475,407,28
2001,NYS EITC,Lewis,Lewis,,1555,619,398,29
2001,NYS EITC,Livingston,Livingston,,2936,1107,377,30
2001,NYS EITC,Madison,Madison,,3604,1363,378,31
2001,NYS EITC,Monroe,Monroe,,39712,16021,403,32
2001,NYS EITC,Montgomery,Montgomery,,3366,1345,399,33
2001,NYS EITC,Nassau,Nassau,,46179,17036,369,34
2001,NYS EITC,Niagara,Niagara,,11840,4650,393,35
2001,NYS EITC,Oneida,Oneida,,13699,5458,398,36
2001,NYS EITC,Onondaga,Onondaga,,24515,9813,400,37
2001,NYS EITC,Ontario,Ontario,,4608,1755,381,38
2001,NYS EITC,Orange,Orange,,15590,6716,431,39
2001,NYS EITC,Orleans,Orleans,,2560,1000,390,40
2001,NYS EITC,Oswego,Oswego,,7557,3023,400,41
2001,NYS EITC,Otsego,Otsego,,3429,1305,381,42
2001,NYS EITC,Putnam,Putnam,,1831,592,323,43
2001,NYS EITC,Rensselaer,Rensselaer,,7581,2902,383,44
2001,NYS EITC,Rockland,Rockland,,10753,4710,438,45
2001,NYS EITC,St. Lawrence,St. Lawrence,,6726,2723,405,46
2001,NYS EITC,Saratoga,Saratoga,,7480,2783,372,47
2001,NYS EITC,Schenectady,Schenectady,,7794,3098,398,48
2001,NYS EITC,Schoharie,Schoharie,,1705,655,384,49
2001,NYS EITC,Schuyler,Schuyler,,1149,439,382,50
2001,NYS EITC,Seneca,Seneca,,1893,737,389,51
2001,NYS EITC,Steuben,Steuben,,6244,2488,398,52
2001,NYS EITC,Suffolk,Suffolk,,55764,20407,366,53
2001,NYS EITC,Sullivan,Sullivan,,4964,2085,420,54
2001,NYS EITC,Tioga,Tioga,,2768,1061,383,55
2001,NYS EITC,Tompkins,Tompkins,,3477,1224,352,56
2001,NYS EITC,Ulster,Ulster,,8794,3280,373,57
2001,NYS EITC,Warren,Warren,,3710,1442,389,58
2001,NYS EITC,Washington,Washington,,3654,1436,393,59
2001,NYS EITC,Wayne,Wayne,,5170,2048,396,60
2001,NYS EITC,Westchester,Westchester,,35283,13665,387,61
2001,NYS EITC,Wyoming,Wyoming,,1974,730,370,62
2001,NYS EITC,Yates,Yates,,1459,554,379,63
2001,NYS EITC,All Other *,Not Applicable,,10322,1973,191,64
2001,NYS EITC,Grand Total,Grand Total,,1220991,500921,410,65
2000,NYS EITC,New York City - Bronx,Bronx,,151412,60529,400,1
2000,NYS EITC,New York City - Kings,Kings,,224946,85541,380,2
2000,NYS EITC,New York City - Manhattan,Manhattan,,120154,43783,364,3
2000,NYS EITC,New York City - Queens,Queens,,159614,56013,351,4
2000,NYS EITC,New York City - Richmond,Richmond,,17042,5865,344,5
2000,NYS EITC,Albany,Albany,,13557,4541,335,7
2000,NYS EITC,Allegany,Allegany,,2862,1007,352,8
2000,NYS EITC,Broome,Broome,,10797,3662,339,9
2000,NYS EITC,Cattaraugus,Cattaraugus,,5172,1829,354,10
2000,NYS EITC,Cayuga,Cayuga,,4543,1571,346,11
2000,NYS EITC,Chautauqua,Chautauqua,,8476,2966,350,12
2000,NYS EITC,Chemung,Chemung,,5487,1890,344,13
2000,NYS EITC,Chenango,Chenango,,3431,1219,355,14
2000,NYS EITC,Clinton,Clinton,,4259,1480,348,15
2000,NYS EITC,Columbia,Columbia,,3189,1063,333,16
2000,NYS EITC,Cortland,Cortland,,2791,943,338,17
2000,NYS EITC,Delaware,Delaware,,2992,1013,339,18
2000,NYS EITC,Dutchess,Dutchess,,9160,3035,331,19
2000,NYS EITC,Erie,Erie,,48195,16902,351,20
2000,NYS EITC,Essex,Essex,,2053,710,346,21
2000,NYS EITC,Franklin,Franklin,,3207,1138,355,22
2000,NYS EITC,Fulton,Fulton,,3774,1282,340,23
2000,NYS EITC,Genesee,Genesee,,2954,964,326,24
2000,NYS EITC,Greene,Greene,,2420,792,327,25
2000,NYS EITC,Hamilton,Hamilton,,266,74,278,26
2000,NYS EITC,Herkimer,Herkimer,,3888,1397,359,27
2000,NYS EITC,Jefferson,Jefferson,,6050,2177,360,28
2000,NYS EITC,Lewis,Lewis,,1543,521,338,29
2000,NYS EITC,Livingston,Livingston,,2830,935,330,30
2000,NYS EITC,Madison,Madison,,3544,1173,331,31
2000,NYS EITC,Monroe,Monroe,,38626,13641,353,32
2000,NYS EITC,Montgomery,Montgomery,,3222,1143,355,33
2000,NYS EITC,Nassau,Nassau,,42672,14009,328,34
2000,NYS EITC,Niagara,Niagara,,11551,3961,343,35
2000,NYS EITC,Oneida,Oneida,,13114,4565,348,36
2000,NYS EITC,Onondaga,Onondaga,,23864,8356,350,37
2000,NYS EITC,Ontario,Ontario,,4409,1487,337,38
2000,NYS EITC,Orange,Orange,,15078,5633,374,39
2000,NYS EITC,Orleans,Orleans,,2499,872,349,40
2000,NYS EITC,Oswego,Oswego,,7214,2541,352,41
2000,NYS EITC,Otsego,Otsego,,3401,1167,343,42
2000,NYS EITC,Putnam,Putnam,,1654,480,290,43
2000,NYS EITC,Rensselaer,Rensselaer,,7399,2484,336,44
2000,NYS EITC,Rockland,Rockland,,10213,3940,386,45
2000,NYS EITC,St. Lawrence,St. Lawrence,,6622,2343,354,46
2000,NYS EITC,Saratoga,Saratoga,,7302,2390,327,47
2000,NYS EITC,Schenectady,Schenectady,,7529,2646,351,48
2000,NYS EITC,Schoharie,Schoharie,,1729,597,346,49
2000,NYS EITC,Schuyler,Schuyler,,1156,390,338,50
2000,NYS EITC,Seneca,Seneca,,1880,637,339,51
2000,NYS EITC,Steuben,Steuben,,6081,2117,348,52
2000,NYS EITC,Suffolk,Suffolk,,51785,16919,327,53
2000,NYS EITC,Sullivan,Sullivan,,4782,1736,363,54
2000,NYS EITC,Tioga,Tioga,,2709,897,331,55
2000,NYS EITC,Tompkins,Tompkins,,3427,1069,312,56
2000,NYS EITC,Ulster,Ulster,,8430,2756,327,57
2000,NYS EITC,Warren,Warren,,3681,1263,343,58
2000,NYS EITC,Washington,Washington,,3564,1203,338,59
2000,NYS EITC,Wayne,Wayne,,4875,1701,349,60
2000,NYS EITC,Westchester,Westchester,,34248,11639,340,61
2000,NYS EITC,Wyoming,Wyoming,,1914,630,329,62
2000,NYS EITC,Yates,Yates,,1418,468,330,63
2000,NYS EITC,All Other *,Not Applicable,,8974,1362,152,64
2000,NYS EITC,Grand Total,Grand Total,,1177630,423057,359,65
1999,NYS EITC,New York City - Bronx,Bronx,,139076,47251,340,1
1999,NYS EITC,New York City - Kings,Kings,,218545,71962,329,2
1999,NYS EITC,New York City - Manhattan,Manhattan,,121345,37900,312,3
1999,NYS EITC,New York City - Queens,Queens,,158961,48818,307,4
1999,NYS EITC,New York City - Richmond,Richmond,,16288,4813,295,5
1999,NYS EITC,Albany,Albany,,13655,3951,289,7
1999,NYS EITC,Allegany,Allegany,,2930,898,307,8
1999,NYS EITC,Broome,Broome,,10949,3250,297,9
1999,NYS EITC,Cattaraugus,Cattaraugus,,5362,1652,308,10
1999,NYS EITC,Cayuga,Cayuga,,4545,1351,297,11
1999,NYS EITC,Chautauqua,Chautauqua,,8541,2619,307,12
1999,NYS EITC,Chemung,Chemung,,5467,1659,303,13
1999,NYS EITC,Chenango,Chenango,,3476,1078,310,14
1999,NYS EITC,Clinton,Clinton,,4400,1348,306,15
1999,NYS EITC,Columbia,Columbia,,3296,970,294,16
1999,NYS EITC,Cortland,Cortland,,2901,873,301,17
1999,NYS EITC,Delaware,Delaware,,2951,867,294,18
1999,NYS EITC,Dutchess,Dutchess,,9381,2687,286,19
1999,NYS EITC,Erie,Erie,,47508,14395,303,20
1999,NYS EITC,Essex,Essex,,2100,623,297,21
1999,NYS EITC,Franklin,Franklin,,3359,1057,315,22
1999,NYS EITC,Fulton,Fulton,,3815,1159,304,23
1999,NYS EITC,Genesee,Genesee,,2955,853,289,24
1999,NYS EITC,Greene,Greene,,2452,730,298,25
1999,NYS EITC,Hamilton,Hamilton,,280,71,255,26
1999,NYS EITC,Herkimer,Herkimer,,3939,1256,319,27
1999,NYS EITC,Jefferson,Jefferson,,6089,1899,312,28
1999,NYS EITC,Lewis,Lewis,,1663,487,293,29
1999,NYS EITC,Livingston,Livingston,,2860,834,292,30
1999,NYS EITC,Madison,Madison,,3566,1055,296,31
1999,NYS EITC,Monroe,Monroe,,37509,11503,307,32
1999,NYS EITC,Montgomery,Montgomery,,3248,981,302,33
1999,NYS EITC,Nassau,Nassau,,42809,12322,288,34
1999,NYS EITC,Niagara,Niagara,,11613,3483,300,35
1999,NYS EITC,Oneida,Oneida,,13159,4047,308,36
1999,NYS EITC,Onondaga,Onondaga,,23417,7190,307,37
1999,NYS EITC,Ontario,Ontario,,4381,1285,293,38
1999,NYS EITC,Orange,Orange,,14995,4951,330,39
1999,NYS EITC,Orleans,Orleans,,2497,758,304,40
1999,NYS EITC,Oswego,Oswego,,7348,2276,310,41
1999,NYS EITC,Otsego,Otsego,,3469,1046,302,42
1999,NYS EITC,Putnam,Putnam,,1730,443,256,43
1999,NYS EITC,Rensselaer,Rensselaer,,7429,2197,296,44
1999,NYS EITC,Rockland,Rockland,,9982,3361,337,45
1999,NYS EITC,St. Lawrence,St. Lawrence,,6589,2046,310,46
1999,NYS EITC,Saratoga,Saratoga,,7644,2178,285,47
1999,NYS EITC,Schenectady,Schenectady,,7543,2312,306,48
1999,NYS EITC,Schoharie,Schoharie,,1766,511,289,49
1999,NYS EITC,Schuyler,Schuyler,,1179,347,295,50
1999,NYS EITC,Seneca,Seneca,,1862,548,295,51
1999,NYS EITC,Steuben,Steuben,,6161,1892,307,52
1999,NYS EITC,Suffolk,Suffolk,,52324,14917,285,53
1999,NYS EITC,Sullivan,Sullivan,,4743,1524,321,54
1999,NYS EITC,Tioga,Tioga,,2772,816,294,55
1999,NYS EITC,Tompkins,Tompkins,,3475,937,270,56
1999,NYS EITC,Ulster,Ulster,,8493,2447,288,57
1999,NYS EITC,Warren,Warren,,3744,1117,298,58
1999,NYS EITC,Washington,Washington,,3511,1054,300,59
1999,NYS EITC,Wayne,Wayne,,5006,1534,306,60
1999,NYS EITC,Westchester,Westchester,,34667,10243,295,61
1999,NYS EITC,Wyoming,Wyoming,,2048,591,289,62
1999,NYS EITC,Yates,Yates,,1467,426,290,63
1999,NYS EITC,All Other *,Not Applicable,,8085,1153,143,64
1999,NYS EITC,Grand Total,Grand Total,,1159320,360802,311,65
1998,NYS EITC,New York City - Bronx,Bronx,,128936,42087,326,1
1998,NYS EITC,New York City - Kings,Kings,,216374,69397,321,2
1998,NYS EITC,New York City - Manhattan,Manhattan,,111618,33655,302,3
1998,NYS EITC,New York City - Queens,Queens,,161919,49273,304,4
1998,NYS EITC,New York City - Richmond,Richmond,,15520,4508,290,5
1998,NYS EITC,Albany,Albany,,13051,3754,288,7
1998,NYS EITC,Allegany,Allegany,,3012,925,307,8
1998,NYS EITC,Broome,Broome,,10820,3177,294,9
1998,NYS EITC,Cattaraugus,Cattaraugus,,5340,1622,304,10
1998,NYS EITC,Cayuga,Cayuga,,4611,1367,296,11
1998,NYS EITC,Chautauqua,Chautauqua,,8737,2617,300,12
1998,NYS EITC,Chemung,Chemung,,5462,1612,295,13
1998,NYS EITC,Chenango,Chenango,,3604,1114,309,14
1998,NYS EITC,Clinton,Clinton,,4386,1322,301,15
1998,NYS EITC,Columbia,Columbia,,3307,944,285,16
1998,NYS EITC,Cortland,Cortland,,2967,857,289,17
1998,NYS EITC,Delaware,Delaware,,3017,892,296,18
1998,NYS EITC,Dutchess,Dutchess,,9453,2630,278,19
1998,NYS EITC,Erie,Erie,,46504,13581,292,20
1998,NYS EITC,Essex,Essex,,2176,620,285,21
1998,NYS EITC,Franklin,Franklin,,3273,1013,309,22
1998,NYS EITC,Fulton,Fulton,,3875,1164,300,23
1998,NYS EITC,Genesee,Genesee,,3034,856,282,24
1998,NYS EITC,Greene,Greene,,2535,719,284,25
1998,NYS EITC,Hamilton,Hamilton,,315,87,277,26
1998,NYS EITC,Herkimer,Herkimer,,4092,1264,309,27
1998,NYS EITC,Jefferson,Jefferson,,6074,1856,306,28
1998,NYS EITC,Lewis,Lewis,,1629,476,292,29
1998,NYS EITC,Livingston,Livingston,,2939,849,289,30
1998,NYS EITC,Madison,Madison,,3738,1095,293,31
1998,NYS EITC,Monroe,Monroe,,36294,10794,297,32
1998,NYS EITC,Montgomery,Montgomery,,3450,1043,302,33
1998,NYS EITC,Nassau,Nassau,,43872,12316,281,34
1998,NYS EITC,Niagara,Niagara,,11801,3442,292,35
1998,NYS EITC,Oneida,Oneida,,13222,3932,297,36
1998,NYS EITC,Onondaga,Onondaga,,22627,6828,302,37
1998,NYS EITC,Ontario,Ontario,,4521,1283,284,38
1998,NYS EITC,Orange,Orange,,14777,4806,325,39
1998,NYS EITC,Orleans,Orleans,,2547,753,295,40
1998,NYS EITC,Oswego,Oswego,,7361,2256,307,41
1998,NYS EITC,Otsego,Otsego,,3548,1058,298,42
1998,NYS EITC,Putnam,Putnam,,1866,464,249,43
1998,NYS EITC,Rensselaer,Rensselaer,,7564,2140,283,44
1998,NYS EITC,Rockland,Rockland,,10284,3325,323,45
1998,NYS EITC,St. Lawrence,St. Lawrence,,6737,2058,305,46
1998,NYS EITC,Saratoga,Saratoga,,7662,2169,283,47
1998,NYS EITC,Schenectady,Schenectady,,7559,2222,294,48
1998,NYS EITC,Schoharie,Schoharie,,1802,537,298,49
1998,NYS EITC,Schuyler,Schuyler,,1193,352,295,50
1998,NYS EITC,Seneca,Seneca,,1860,558,300,51
1998,NYS EITC,Steuben,Steuben,,6278,1878,299,52
1998,NYS EITC,Suffolk,Suffolk,,52837,14830,281,53
1998,NYS EITC,Sullivan,Sullivan,,4765,1492,313,54
1998,NYS EITC,Tioga,Tioga,,2839,819,288,55
1998,NYS EITC,Tompkins,Tompkins,,3638,961,264,56
1998,NYS EITC,Ulster,Ulster,,8718,2450,281,57
1998,NYS EITC,Warren,Warren,,3742,1100,294,58
1998,NYS EITC,Washington,Washington,,3654,1079,295,59
1998,NYS EITC,Wayne,Wayne,,5031,1514,301,60
1998,NYS EITC,Westchester,Westchester,,34327,9879,288,61
1998,NYS EITC,Wyoming,Wyoming,,2073,592,285,62
1998,NYS EITC,Yates,Yates,,1469,444,302,63
1998,NYS EITC,All Other *,Not Applicable,,9377,1284,137,64
1998,NYS EITC,Grand Total,Grand Total,,1141613,345993,303,65
1997,NYS EITC,New York City - Bronx,Bronx,,118201,36577,309,1
1997,NYS EITC,New York City - Kings,Kings,,210313,64366,306,2
1997,NYS EITC,New York City - Manhattan,Manhattan,,108177,31156,288,3
1997,NYS EITC,New York City - Queens,Queens,,158045,46116,292,4
1997,NYS EITC,New York City - Richmond,Richmond,,14811,4109,277,5
1997,NYS EITC,Albany,Albany,,12919,3490,270,7
1997,NYS EITC,Allegany,Allegany,,3050,885,290,8
1997,NYS EITC,Broome,Broome,,10958,3002,274,9
1997,NYS EITC,Cattaraugus,Cattaraugus,,5338,1569,294,10
1997,NYS EITC,Cayuga,Cayuga,,4705,1319,280,11
1997,NYS EITC,Chautauqua,Chautauqua,,8824,2509,284,12
1997,NYS EITC,Chemung,Chemung,,5407,1528,283,13
1997,NYS EITC,Chenango,Chenango,,3637,1081,297,14
1997,NYS EITC,Clinton,Clinton,,4461,1297,291,15
1997,NYS EITC,Columbia,Columbia,,3465,967,279,16
1997,NYS EITC,Cortland,Cortland,,2997,854,285,17
1997,NYS EITC,Delaware,Delaware,,3056,880,288,18
1997,NYS EITC,Dutchess,Dutchess,,9479,2539,268,19
1997,NYS EITC,Erie,Erie,,45541,12610,277,20
1997,NYS EITC,Essex,Essex,,2169,600,277,21
1997,NYS EITC,Franklin,Franklin,,3324,961,289,22
1997,NYS EITC,Fulton,Fulton,,3911,1116,285,23
1997,NYS EITC,Genesee,Genesee,,3069,847,276,24
1997,NYS EITC,Greene,Greene,,2516,695,276,25
1997,NYS EITC,Hamilton,Hamilton,,334,85,254,26
1997,NYS EITC,Herkimer,Herkimer,,4174,1245,298,27
1997,NYS EITC,Jefferson,Jefferson,,6073,1780,293,28
1997,NYS EITC,Lewis,Lewis,,1638,456,278,29
1997,NYS EITC,Livingston,Livingston,,2972,831,280,30
1997,NYS EITC,Madison,Madison,,3727,1062,285,31
1997,NYS EITC,Monroe,Monroe,,35224,9928,282,32
1997,NYS EITC,Montgomery,Montgomery,,3387,963,284,33
1997,NYS EITC,Nassau,Nassau,,44186,11905,269,34
1997,NYS EITC,Niagara,Niagara,,11822,3321,281,35
1997,NYS EITC,Oneida,Oneida,,13090,3750,286,36
1997,NYS EITC,Onondaga,Onondaga,,21986,6215,283,37
1997,NYS EITC,Ontario,Ontario,,4561,1229,269,38
1997,NYS EITC,Orange,Orange,,14445,4398,304,39
1997,NYS EITC,Orleans,Orleans,,2487,705,284,40
1997,NYS EITC,Oswego,Oswego,,7402,2164,292,41
1997,NYS EITC,Otsego,Otsego,,3660,1030,281,42
1997,NYS EITC,Putnam,Putnam,,1914,467,244,43
1997,NYS EITC,Rensselaer,Rensselaer,,7451,2016,271,44
1997,NYS EITC,Rockland,Rockland,,10026,3112,310,45
1997,NYS EITC,St. Lawrence,St. Lawrence,,6797,1978,291,46
1997,NYS EITC,Saratoga,Saratoga,,7828,2134,273,47
1997,NYS EITC,Schenectady,Schenectady,,7367,2069,281,48
1997,NYS EITC,Schoharie,Schoharie,,1825,506,277,49
1997,NYS EITC,Schuyler,Schuyler,,1248,358,287,50
1997,NYS EITC,Seneca,Seneca,,1872,538,287,51
1997,NYS EITC,Steuben,Steuben,,6204,1811,292,52
1997,NYS EITC,Suffolk,Suffolk,,53338,14261,267,53
1997,NYS EITC,Sullivan,Sullivan,,4842,1425,294,54
1997,NYS EITC,Tioga,Tioga,,2872,815,284,55
1997,NYS EITC,Tompkins,Tompkins,,3631,908,250,56
1997,NYS EITC,Ulster,Ulster,,8770,2376,271,57
1997,NYS EITC,Warren,Warren,,3886,1096,282,58
1997,NYS EITC,Washington,Washington,,3563,999,280,59
1997,NYS EITC,Wayne,Wayne,,4960,1403,283,60
1997,NYS EITC,Westchester,Westchester,,33922,9396,277,61
1997,NYS EITC,Wyoming,Wyoming,,2154,592,275,62
1997,NYS EITC,Yates,Yates,,1429,420,294,63
1997,NYS EITC,All Other *,Not Applicable,,9120,1296,142,64
1997,NYS EITC,Grand Total,Grand Total,,1114560,322119,289,65
1996,NYS EITC,New York City - Bronx,Bronx,,102913,29071,282,1
1996,NYS EITC,New York City - Kings,Kings,,198264,56680,286,2
1996,NYS EITC,New York City - Manhattan,Manhattan,,113192,30140,266,3
1996,NYS EITC,New York City - Queens,Queens,,146882,40078,273,4
1996,NYS EITC,New York City - Richmond,Richmond,,13719,3580,261,5
1996,NYS EITC,Albany,Albany,,12736,3236,254,7
1996,NYS EITC,Allegany,Allegany,,3039,857,282,8
1996,NYS EITC,Broome,Broome,,10716,2797,261,9
1996,NYS EITC,Cattaraugus,Cattaraugus,,5377,1491,277,10
1996,NYS EITC,Cayuga,Cayuga,,4815,1285,267,11
1996,NYS EITC,Chautauqua,Chautauqua,,8783,2425,276,12
1996,NYS EITC,Chemung,Chemung,,5417,1459,269,13
1996,NYS EITC,Chenango,Chenango,,3658,1037,284,14
1996,NYS EITC,Clinton,Clinton,,4599,1242,270,15
1996,NYS EITC,Columbia,Columbia,,3375,897,266,16
1996,NYS EITC,Cortland,Cortland,,3080,833,270,17
1996,NYS EITC,Delaware,Delaware,,3085,833,270,18
1996,NYS EITC,Dutchess,Dutchess,,9442,2376,252,19
1996,NYS EITC,Erie,Erie,,44928,11591,258,20
1996,NYS EITC,Essex,Essex,,2216,598,270,21
1996,NYS EITC,Franklin,Franklin,,3288,916,279,22
1996,NYS EITC,Fulton,Fulton,,3913,1082,276,23
1996,NYS EITC,Genesee,Genesee,,3066,816,266,24
1996,NYS EITC,Greene,Greene,,2537,657,259,25
1996,NYS EITC,Hamilton,Hamilton,,287,81,281,26
1996,NYS EITC,Herkimer,Herkimer,,4219,1173,278,27
1996,NYS EITC,Jefferson,Jefferson,,5927,1648,278,28
1996,NYS EITC,Lewis,Lewis,,1685,460,273,29
1996,NYS EITC,Livingston,Livingston,,2967,761,256,30
1996,NYS EITC,Madison,Madison,,3774,1028,272,31
1996,NYS EITC,Monroe,Monroe,,34436,9139,265,32
1996,NYS EITC,Montgomery,Montgomery,,3368,922,274,33
1996,NYS EITC,Nassau,Nassau,,45581,11657,256,34
1996,NYS EITC,Niagara,Niagara,,11767,3129,266,35
1996,NYS EITC,Oneida,Oneida,,12797,3490,273,36
1996,NYS EITC,Onondaga,Onondaga,,21414,5667,265,37
1996,NYS EITC,Ontario,Ontario,,4662,1190,255,38
1996,NYS EITC,Orange,Orange,,14119,4085,289,39
1996,NYS EITC,Orleans,Orleans,,2509,676,269,40
1996,NYS EITC,Oswego,Oswego,,7349,2014,274,41
1996,NYS EITC,Otsego,Otsego,,3670,988,269,42
1996,NYS EITC,Putnam,Putnam,,1885,428,227,43
1996,NYS EITC,Rensselaer,Rensselaer,,7302,1887,258,44
1996,NYS EITC,Rockland,Rockland,,9882,2830,286,45
1996,NYS EITC,St. Lawrence,St. Lawrence,,6839,1909,279,46
1996,NYS EITC,Saratoga,Saratoga,,7802,2052,263,47
1996,NYS EITC,Schenectady,Schenectady,,7148,1892,265,48
1996,NYS EITC,Schoharie,Schoharie,,1846,496,269,49
1996,NYS EITC,Schuyler,Schuyler,,1245,338,272,50
1996,NYS EITC,Seneca,Seneca,,1927,517,268,51
1996,NYS EITC,Steuben,Steuben,,6140,1715,279,52
1996,NYS EITC,Suffolk,Suffolk,,52342,13290,254,53
1996,NYS EITC,Sullivan,Sullivan,,4786,1336,279,54
1996,NYS EITC,Tioga,Tioga,,2902,777,268,55
1996,NYS EITC,Tompkins,Tompkins,,3560,852,239,56
1996,NYS EITC,Ulster,Ulster,,8662,2234,258,57
1996,NYS EITC,Warren,Warren,,3806,1044,274,58
1996,NYS EITC,Washington,Washington,,3629,970,267,59
1996,NYS EITC,Wayne,Wayne,,4876,1317,270,60
1996,NYS EITC,Westchester,Westchester,,33010,8593,260,61
1996,NYS EITC,Wyoming,Wyoming,,2172,589,271,62
1996,NYS EITC,Yates,Yates,,1496,405,271,63
1996,NYS EITC,All Other *,Not Applicable,,9329,1318,141,64
1996,NYS EITC,Grand Total,Grand Total,,1076157,290873,270,65
1995,NYS EITC,New York City - Bronx,Bronx,,99505,13110,132,1
1995,NYS EITC,New York City - Kings,Kings,,197062,26119,133,2
1995,NYS EITC,New York City - Manhattan,Manhattan,,104300,12665,121,3
1995,NYS EITC,New York City - Queens,Queens,,150980,19085,126,4
1995,NYS EITC,New York City - Richmond,Richmond,,14384,1701,118,5
1995,NYS EITC,Albany,Albany,,13002,1539,118,7
1995,NYS EITC,Allegany,Allegany,,3263,420,129,8
1995,NYS EITC,Broome,Broome,,11179,1323,118,9
1995,NYS EITC,Cattaraugus,Cattaraugus,,5665,739,130,10
1995,NYS EITC,Cayuga,Cayuga,,5226,665,127,11
1995,NYS EITC,Chautauqua,Chautauqua,,9474,1186,125,12
1995,NYS EITC,Chemung,Chemung,,5671,714,126,13
1995,NYS EITC,Chenango,Chenango,,3891,521,134,14
1995,NYS EITC,Clinton,Clinton,,4687,591,126,15
1995,NYS EITC,Columbia,Columbia,,3505,442,126,16
1995,NYS EITC,Cortland,Cortland,,3242,418,129,17
1995,NYS EITC,Delaware,Delaware,,3366,430,128,18
1995,NYS EITC,Dutchess,Dutchess,,9894,1146,116,19
1995,NYS EITC,Erie,Erie,,47224,5596,119,20
1995,NYS EITC,Essex,Essex,,2388,294,123,21
1995,NYS EITC,Franklin,Franklin,,3423,445,130,22
1995,NYS EITC,Fulton,Fulton,,4089,527,129,23
1995,NYS EITC,Genesee,Genesee,,3262,394,121,24
1995,NYS EITC,Greene,Greene,,2745,331,120,25
1995,NYS EITC,Hamilton,Hamilton,,362,45,124,26
